Title,Company,Location,Salary,Experience,Posted,Apply Link
Business Development Manager,Candid Solutions,Mumbai,"₹ 2,00,000 - 3,00,000₹ 2,00,000 - 3,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/part-time-business-development-manager-job-in-mumbai-at-candid-solutions1745393545
Field Sales Trainee,PepsiCo India,"Delhi,Odisha,Assam,Rajasthan,Jammu,Maharashtra,Punjab,Gujarat,Uttar Pradesh,Uttarakhand,West Bengal,Madhya Pradesh,Karnataka,Haryana","₹ 5,29,000₹ 5,29,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-field-sales-trainee-job-in-multiple-locations-at-pepsico-india1751358106
Customer Success Trainee,Robin Home AI,"Mumbai,Bangalore(Hybrid)","₹ 2,50,000 - 3,00,000₹ 2,50,000 - 3,00,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-customer-success-trainee-job-in-multiple-locations-at-robin-home-ai1751023019
Community Manager,Yashica Jalhotra,Noida(Hybrid),"₹ 3,24,000 - 3,90,000₹ 3,24,000 - 3,90,000 /year",1 year(s),2 weeks ago,https://internshala.com/job/detail/community-manager-job-in-noida-at-yashica-jalhotra1750748171
Car Sales Executive,MG Motor Saraswati Unicorp LLP,Jalgaon,"₹ 2,00,000 - 2,46,000₹ 2,00,000 - 2,46,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/car-sales-executive-job-in-jalgaon-at-mg-motor-saraswati-unicorp-llp1750219555
Finance Analyst,V Advis Private Limited,Pondicherry,"₹ 2,00,000 - 4,00,000₹ 2,00,000 - 4,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/executive-financial-analyst-job-in-villupuram-at-v-advis-private-limited1749530764
Barista,Cafe Coffee Day,Pune,"₹ 8,00,000 - 12,00,001₹ 8,00,000 - 12,00,001 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-barista-job-in-pune-at-cafe-coffee-day1750218198
Associate Software Developer,VIP AI,Pune,"₹ 7,00,000 - 12,00,000₹ 7,00,000 - 12,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/associate-software-developer-job-in-pune-at-vip-ai1750303638
Sales Consultant,Urban Company,Bangalore,"₹ 6,20,000 - 12,50,000₹ 6,20,000 - 12,50,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-sales-consultant-job-in-bangalore-at-urban-company1749799711
Junior Corporate Sales Manager - Female,EXp Realty,"Navi Mumbai,Mumbai","₹ 6,00,000 - 10,00,000₹ 6,00,000 - 10,00,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/junior-corporate-sales-manager-job-in-multiple-locations-at-vivek-tripathi1751458447
Company Secretary (CS),Antal International,Mumbai,"₹ 6,00,000 - 7,20,000₹ 6,00,000 - 7,20,000 /year",0 year(s),3 weeks ago,https://internshala.com/job/detail/fresher-company-secretary-cs-job-in-mumbai-at-antal-international1750236870
Corporate Sales Specialist,BYJU'S The Learning App,"Mumbai,Bangalore","₹ 5,00,000 - 10,00,000₹ 5,00,000 - 10,00,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/corporate-sales-specialist-job-in-multiple-locations-at-byjus-the-learning-app1751442555
Field Sales Trainee,BSS Microfinance Pvt Ltd,Bangalore,"₹ 5,00,000 - 8,00,000₹ 5,00,000 - 8,00,000 /year",1 year(s),3 weeks ago,https://internshala.com/job/detail/field-sales-trainee-job-in-bangalore-at-bss-microfinance-pvt-ltd1749890672
Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 5,00,000 - 6,50,000₹ 5,00,000 - 6,50,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-business-development-associate-job-in-bangalore-at-bhanzu-formerly-exploring-infinities1751460376
Associate Telecaller,Frontline Managed Services,"Pune,Bangalore,Aradi Socorro","₹ 5,00,000 - 5,50,000₹ 5,00,000 - 5,50,000 /year",1 year(s),1 week ago,https://internshala.com/job/detail/associate-telecaller-job-in-multiple-locations-at-frontline-managed-services1751018602
BHIMA SAKHI (MAHILA CAREER AGENT),Life Insurance Corporation Of India,Work from home,"₹ 5,00,000₹ 5,00,000 /year",0 year(s),2 weeks ago,https://internshala.com/job/detail/fresher-remote-part-time-bhima-sakhi-mahila-career-agent-job-at-life-insurance-corporation-of-india1750857474
Big Data Associate,IHH HEALTHCARE PVT LTD,Chennai,"₹ 4,90,000 - 7,40,000₹ 4,90,000 - 7,40,000 /year",0 year(s),1 week ago,https://internshala.com/job/detail/fresher-big-data-associate-job-in-chennai-at-ihh-healthcare-pvt-ltd1751463111
